"","Year","B_tot","B_exp","Catch","Stock"
"1",1978,NA,NA,NA,"GOM_Cod"
"2",1979,NA,NA,NA,"GOM_Cod"
"3",1980,NA,NA,NA,"GOM_Cod"
"4",1981,NA,NA,NA,"GOM_Cod"
"5",1982,46691.8883,34466.6735164384,17092.1,"GOM_Cod"
"6",1983,38391.0158,29350.4244574713,16478.1,"GOM_Cod"
"7",1984,33044.3325,24854.4272025641,12859.3,"GOM_Cod"
"8",1985,32967.8917,25113.5571692308,14382.5,"GOM_Cod"
"9",1986,30861.1544,22700.994452381,12567.4,"GOM_Cod"
"10",1987,30095.1368,21966.6148707317,11981.4,"GOM_Cod"
"11",1988,33150.1766,22911.0861698413,10326.4,"GOM_Cod"
"12",1989,47723.6349,21224.8719709677,13332.8,"GOM_Cod"
"13",1990,46393.0552,25877.4228447368,19280.4,"GOM_Cod"
"14",1991,40692.2414,27722.6375086614,20944.1,"GOM_Cod"
"15",1992,25828.8757,16097.3196992647,12329.3,"GOM_Cod"
"16",1993,21646.8262,11430.05582,9909.4,"GOM_Cod"
"17",1994,22296.5078,10506.5854589041,9009.8,"GOM_Cod"
"18",1995,21947.94,11222.692953,7517.5,"GOM_Cod"
"19",1996,19701.4021,11521.4354097087,7716.2,"GOM_Cod"
"20",1997,16478.0179,9513.30435053763,5784.9,"GOM_Cod"
"21",1998,15566.2643,8142.95872195122,4541.9,"GOM_Cod"
"22",1999,15697.831,8349.10796041667,3042.3,"GOM_Cod"
"23",2000,25568.9562,12772.5993016393,5753.9,"GOM_Cod"
"24",2001,27437.1998,15477.7478535211,7941.2,"GOM_Cod"
"25",2002,23153.9865,15736.6414690909,6365.7,"GOM_Cod"
"26",2003,20153.9937,14373.2080246154,6355.5,"GOM_Cod"
"27",2004,17615.9254,12535.7289835821,5768.8,"GOM_Cod"
"28",2005,15904.9364,9465.75834880952,5257.6,"GOM_Cod"
"29",2006,17657.0354,8319.32240833333,4207.3,"GOM_Cod"
"30",2007,21852.5948,10792.3945444444,5485,"GOM_Cod"
"31",2008,24188.3536,11757.9150419355,7186.5,"GOM_Cod"
"32",2009,23501.207,12280.1170269231,8246.7,"GOM_Cod"
"33",2010,18941.5619,11098.3317841121,7517.4,"GOM_Cod"
"34",2011,13305.8776,8070.18997884615,6673.2,"GOM_Cod"
"35",2012,7912.4246,3857.86098314607,3471.7,"GOM_Cod"
"36",2013,6345.3435,2172.04365488722,1776.9,"GOM_Cod"
"37",2014,6640.0195,2181.38266979167,1470.6,"GOM_Cod"
"38",1978,154472.653,135102.45475,40929,"GB_Cod"
"39",1979,176728.407,142857.761146341,44442,"GB_Cod"
"40",1980,172665.137,141884.254903846,53949,"GB_Cod"
"41",1981,170303.143,129249.401078431,48667,"GB_Cod"
"42",1982,172489.935,132364.827086957,62509,"GB_Cod"
"43",1983,138079.26,117110.526470588,54291,"GB_Cod"
"44",1984,120774.913,94250.849016129,40430,"GB_Cod"
"45",1985,101362.989,77243.2743563218,43361,"GB_Cod"
"46",1986,105909.202,66750.9559827586,27548,"GB_Cod"
"47",1987,120500.037,79653.9648545455,32665,"GB_Cod"
"48",1988,121220.203,95289.782875,42712,"GB_Cod"
"49",1989,114256.048,87739.4375,34938,"GB_Cod"
"50",1990,109278.216,90190.5102739726,44541,"GB_Cod"
"51",1991,96584.172,70286.4881797753,39342,"GB_Cod"
"52",1992,74827.828,53021.4633764706,29827,"GB_Cod"
"53",1993,54536.399,45402.1683225806,26006,"GB_Cod"
"54",1994,39454.281,23704.5644636364,16042,"GB_Cod"
"55",1995,34951.562,20778.6323823529,9983,"GB_Cod"
"56",1996,36480.642,22759.0717666667,9840,"GB_Cod"
"57",1997,37679.585,21862.2750114943,12422,"GB_Cod"
"58",1998,37287.873,19079.9959493671,10372,"GB_Cod"
"59",1999,38043.892,20878.7919605263,10987,"GB_Cod"
"60",2000,44056.835,23142.2856451613,10294,"GB_Cod"
"61",2001,40132.352,24160.1375662651,13709,"GB_Cod"
"62",2002,31688.689,22106.1730394737,11372,"GB_Cod"
"63",2003,24628.919,17083.8394,8945,"GB_Cod"
"64",2004,19116.229,13252.2062777778,5182,"GB_Cod"
"65",2005,17473.657,11201.1073384615,5074,"GB_Cod"
"66",2006,19003.931,11926.55998,4441,"GB_Cod"
"67",2007,20249.556,12592.7643538462,5664,"GB_Cod"
"68",2008,25154.285,12263.3702758621,5163,"GB_Cod"
"69",2009,28078.656,14287.0707142857,4645,"GB_Cod"
"70",2010,31152.762,16695.8880689655,3960,"GB_Cod"
"71",2011,39189.144,23402.4052173913,4449,"GB_Cod"
"72",2012,NA,NA,2653,"GB_Cod"
"73",2013,NA,NA,1824,"GB_Cod"
"74",2014,NA,NA,2082,"GB_Cod"
"75",1978,NA,NA,NA,"GB_Haddock"
