Year,B_tot,B_exp,Catch,Stock
1996,5901.027221,1469.722046,341,GOM_Haddock
1997,9106.212009,2832.622307,1037.9,GOM_Haddock
1998,9513.766945,3615.242195,988.4,GOM_Haddock
1999,11519.99124,3422.257368,594.1,GOM_Haddock
2000,14922.97898,4459.073396,985.5,GOM_Haddock
2001,20062.3217,6831.567488,1232.4,GOM_Haddock
2002,17002.03171,8118.788631,1251.8,GOM_Haddock
2003,14757.20386,8366.547886,1346.7,GOM_Haddock
2004,13553.99841,9121.88797,1307.9,GOM_Haddock
2005,12599.5476,7244.276773,1576.7,GOM_Haddock
2006,10640.53597,6171.340285,1166.9,GOM_Haddock
2007,9507.121345,5001.173902,1343.2,GOM_Haddock
2008,8183.779967,4421.986456,1161.6,GOM_Haddock
2009,6985.846614,4238.926468,945.6,GOM_Haddock
2010,6079.311601,3863.353756,958.1,GOM_Haddock
2011,8378.01238,3311.04641,744.2,GOM_Haddock
2012,9024.163943,2581.071753,739.1,GOM_Haddock
2013,14118.6659,2855.137584,793.3,GOM_Haddock
2014,20336.51857,4020.580879,1021.2,GOM_Haddock
1978,NA,NA,NA,Plaice
1979,NA,NA,NA,Plaice
1980,61983.727,43498.30288,13597,Plaice
1981,55832.4439,45784.42287,12881,Plaice
1982,49806.2902,31942.13425,15156,Plaice
1983,41083.049,28392.99859,13178,Plaice
1984,31783.2815,29366.11475,10142,Plaice
1985,19209.7326,13126.41268,7070,Plaice
1986,16496.5635,10225.04951,4506,Plaice
1987,15832.5374,11492.1342,3849,Plaice
1988,17612.9169,13163.41676,3490,Plaice
1989,15155.2852,10034.72347,2421,Plaice
1990,18657.345,13622.26285,2497,Plaice
1991,22282.0662,22884.20459,4287,Plaice
1992,21984.7209,22699.00278,6419,Plaice
1993,21029.4637,14731.1943,5720,Plaice
1994,19833.6698,9972.516929,5007,Plaice
1995,18221.1509,9505.121788,4619,Plaice
1996,18626.7562,11111.6315,4365,Plaice
1997,20514.7389,12702.18838,3955,Plaice
1998,17969.7572,11136.21301,3651,Plaice
1999,16746.7973,9033.848733,3231,Plaice
2000,19085.6607,11418.05249,4339,Plaice
2001,15139.8126,11060.2537,4451,Plaice
2002,13136.594,9113.927502,3498,Plaice
2003,10587.3725,6114.278311,2487,Plaice
2004,8837.2369,5075.235967,1713,Plaice
2005,9686.8934,6271.032809,1343,Plaice
2006,12554.2502,6136.290046,1105,Plaice
2007,17978.7263,11175.46575,990,Plaice
2008,21241.3107,9611.684271,1100,Plaice
2009,21321.8515,10329.31574,1380,Plaice
2010,22588.7887,15218.18556,1404,Plaice
2011,21971.0922,16358.4066,1369,Plaice
2012,20259.6966,15790.42844,1463,Plaice
2013,20171.0053,16988.71059,1297,Plaice
2014,20751.3006,19716.80888,1239,Plaice
1978,NA,NA,NA,Witch
1979,NA,NA,NA,Witch
1980,NA,NA,NA,Witch
1981,NA,NA,NA,Witch
1982,29243.619,23268.23196,4956,Witch
1983,24649.402,15833.06555,6160,Witch
1984,23985.122,14753.54927,6758,Witch
1985,20751.142,12707.40166,6193,Witch
1986,16224.536,12399.01644,4635,Witch
1987,12990.49,7887.183517,3494,Witch
1988,11406.913,6679.257186,3320,Witch
1989,10316.005,6171.262614,2144,Witch
1990,10316.929,7410.81148,1559,Witch
1991,11302.258,9570.77544,1991,Witch
1992,12310.518,13170.01704,2434,Witch
1993,11573.118,8040.524133,2770,Witch
1994,10224.362,6930.425933,2975,Witch
1995,9082.96,5428.972532,2397,Witch
1996,9297.446,3007.098754,2288,Witch
1997,10997.839,2604.605546,1991,Witch
1998,11823.601,4272.880864,2212,Witch
1999,14521.958,5529.931185,2376,Witch
2000,13797.448,6021.386982,2618,Witch
2001,14210.336,5116.113692,3316,Witch
2002,14765.367,8139.985945,3409,Witch
2003,11640.814,6457.654974,3461,Witch
2004,10567.06,5060.349202,3229,Witch
2005,8543.431,4694.231884,2800,Witch
2006,6354.405,3251.145,1947,Witch
2007,5394.264,2758.781018,1164,Witch
2008,5554.993,2189.232318,1072,Witch
2009,5000.055,2435.826879,1058,Witch
2010,4350.022,1714.386269,848,Witch
2011,4772.777,1998.269027,941,Witch
2012,5305.669,2033.844456,1106,Witch
2013,5397.695,1518.379874,735,Witch
2014,6776.669,1762.493475,604,Witch
1978,NA,NA,4471,CCGOM_Yellow
1979,NA,NA,4939,CCGOM_Yellow
1980,NA,NA,6167,CCGOM_Yellow
1981,NA,NA,4174,CCGOM_Yellow
1982,NA,NA,4035,CCGOM_Yellow
1983,NA,NA,2509,CCGOM_Yellow
1984,NA,NA,1385,CCGOM_Yellow
1985,3562.775653,1266.094093,1348.542,CCGOM_Yellow
1986,4225.255753,3178.500532,1601.519,CCGOM_Yellow
1987,4000.97579,3534.70407,1647.979,CCGOM_Yellow
1988,5607.544149,1469.224567,1657.599,CCGOM_Yellow
1989,7848.660575,1548.101972,1570.225,CCGOM_Yellow
1990,7954.85866,10903.93706,4547.624,CCGOM_Yellow
1991,5426.223943,2135.89672,2289.963,CCGOM_Yellow
1992,5810.721993,3094.156226,1760.453,CCGOM_Yellow
1993,2917.446642,1278.792225,934.706,CCGOM_Yellow
1994,3591.238049,1681.424419,1351.255,CCGOM_Yellow
1995,3987.030405,1522.305507,1517.787,CCGOM_Yellow
1996,4125.631444,2129.619286,1514.82,CCGOM_Yellow
1997,4575.953378,1858.139793,1686.049,CCGOM_Yellow
1998,3888.578752,1483.517809,1621.756,CCGOM_Yellow
1999,5933.265,1950.905131,1452.103,CCGOM_Yellow
2000,6765.512092,2539.434769,2585.792,CCGOM_Yellow
2001,7013.853342,2771.405971,2618.174,CCGOM_Yellow
2002,5966.094095,2329.253262,2157.171,CCGOM_Yellow
2003,4139.482338,2506.406645,1968.392,CCGOM_Yellow
2004,2592.7084,1299.696817,1186.166,CCGOM_Yellow
2005,2089.678224,1126.42119,997.348,CCGOM_Yellow
2006,2127.537674,726.1150698,619.919,CCGOM_Yellow
2007,2127.900969,922.7287736,632.161,CCGOM_Yellow
2008,2645.491225,968.1260079,698.078,CCGOM_Yellow
2009,3045.374696,1199.909882,638.44,CCGOM_Yellow
2010,3425.935942,1726.306048,633.298,CCGOM_Yellow
2011,3701.133995,1616.663277,758.696,CCGOM_Yellow
2012,3779.862582,1761.389173,1091.038,CCGOM_Yellow
2013,4342.70199,1200.92329,676.639,CCGOM_Yellow
2014,5490.722132,1680.332055,474.771,CCGOM_Yellow
1978,NA,NA,NA,SNEMA_Yellow
1979,NA,NA,NA,SNEMA_Yellow
1980,NA,NA,NA,SNEMA_Yellow
1981,50317.63176,19968.15018,6607,SNEMA_Yellow
1982,49693.94041,13293.77688,15764,SNEMA_Yellow
1983,50723.89674,11080.29821,22211,SNEMA_Yellow
1984,47775.79237,9793.954897,11225,SNEMA_Yellow
1985,37244.51272,11256.47411,4817,SNEMA_Yellow
1986,32776.59826,10006.47443,4620,SNEMA_Yellow
1987,27999.42162,10919.88155,2652,SNEMA_Yellow
1988,26482.80022,33458.72244,2782,SNEMA_Yellow
1989,20249.4872,5442.421554,8349,SNEMA_Yellow
1990,20042.21306,2488.412811,17916,SNEMA_Yellow
1991,15823.17573,3730.589466,6430,SNEMA_Yellow
1992,11303.64385,2265.450138,2695,SNEMA_Yellow
1993,12680.84466,4283.412312,771,SNEMA_Yellow
1994,13020.80426,1670.609008,735,SNEMA_Yellow
1995,16041.27558,3956.894979,343,SNEMA_Yellow
1996,18430.01991,4612.512439,759,SNEMA_Yellow
1997,12862.67613,2669.740974,1222,SNEMA_Yellow
1998,16945.21166,2166.011214,1087,SNEMA_Yellow
1999,13500.36054,2221.867494,1403,SNEMA_Yellow
2000,15471.799,3323.522933,1397,SNEMA_Yellow
2001,13913.555,3159.561336,1449,SNEMA_Yellow
2002,8547.539,2397.250003,945,SNEMA_Yellow
2003,6847.025,2534.446874,666,SNEMA_Yellow
2004,7690.974,1684.634033,619,SNEMA_Yellow
2005,8554.096,1791.140025,346,SNEMA_Yellow
2006,9085.049,2503.689774,396,SNEMA_Yellow
2007,8937.31,3375.906637,502,SNEMA_Yellow
2008,8748.809,2553.718382,583,SNEMA_Yellow
2009,8576.949,1268.420864,453,SNEMA_Yellow
2010,8551.269,1211.931719,291,SNEMA_Yellow
2011,7853.493,1245.148113,390,SNEMA_Yellow
2012,7225.609,777.2974876,563,SNEMA_Yellow
2013,6349.46,869.9962292,646,SNEMA_Yellow
2014,4781.706,334.9541579,625,SNEMA_Yellow
1978,NA,NA,NA,GB_Yellow
1979,21314.702,10275.40503,6935,GB_Yellow
1980,21786.115,15646.16335,7539,GB_Yellow
1981,26304.886,9455.496645,6979,GB_Yellow
1982,30452.919,17460.90114,12520,GB_Yellow
1983,22136.37,30715.32564,11989,GB_Yellow
1984,10501.926,7426.802155,6280,GB_Yellow
1985,8753.404,5102.496825,3267,GB_Yellow
1986,8613.796,6463.97815,3474,GB_Yellow
1987,7223.382,4954.474716,3580,GB_Yellow
1988,7372.25,3038.845872,2759,GB_Yellow
1989,9466.073,2549.32128,1783,GB_Yellow
1990,9784.26,6919.639255,4089,GB_Yellow
1991,9127.727,3288.897366,2564,GB_Yellow
1992,11530.196,7065.216101,5299,GB_Yellow
1993,9370.365,4235.463061,4300,GB_Yellow
1994,8985.708,4408.792831,4158,GB_Yellow
1995,7442.106,1786.459613,1135,GB_Yellow
1996,9352.505,3943.368263,1700,GB_Yellow
1997,14211.646,6417.974235,2464,GB_Yellow
1998,16554.372,8610.035881,3985,GB_Yellow
1999,21452.663,10263.263,4963,GB_Yellow
2000,23571.886,11737.51469,7341,GB_Yellow
2001,22762.171,12212.41281,7419,GB_Yellow
2002,21569.767,12006.22217,5663,GB_Yellow
2003,18889.027,15434.87038,6562,GB_Yellow
2004,13102.402,7678.178253,6815,GB_Yellow
2005,7711.602,5187.094014,3852,GB_Yellow
2006,5836.451,2432.570805,2057,GB_Yellow
2007,6016.04,2339.7692,1664,GB_Yellow
2008,5394.553,3645.649228,1499,GB_Yellow
2009,6177.554,3270.776373,1806,GB_Yellow
2010,5228.849,2305.839301,1170,GB_Yellow
2011,4607.874,2667.897567,1171,GB_Yellow
2012,3948.375,2901.512844,725,GB_Yellow
2013,NA,NA,218,GB_Yellow
2014,NA,NA,159,GB_Yellow
1978,NA,NA,NA,SNEMA_Winter
1979,NA,NA,NA,SNEMA_Winter
1980,NA,NA,NA,SNEMA_Winter
1981,56944.22844,32767.69343,15764,SNEMA_Winter
1982,52603.79407,32922.30251,14143,SNEMA_Winter
1983,51752.0859,28183.76415,13582,SNEMA_Winter
1984,45111.95461,26922.97985,15526,SNEMA_Winter
1985,33124.97638,19953.16411,13891,SNEMA_Winter
1986,28988.81772,15718.71027,9217,SNEMA_Winter
1987,23381.63876,13447.73375,9352,SNEMA_Winter
1988,19957.00555,11709.47961,8795,SNEMA_Winter
1989,20527.77087,10332.40914,6915,SNEMA_Winter
1990,18813.17607,10369.9466,5999,SNEMA_Winter
1991,16911.21742,10563.06284,6842,SNEMA_Winter
1992,13126.19067,8543.133805,4729,SNEMA_Winter
1993,15118.78061,7075.963311,4311,SNEMA_Winter
1994,19815.29068,7116.118355,3092,SNEMA_Winter
1995,21400.29338,8872.236169,3434,SNEMA_Winter
1996,19235.95559,10026.80366,3702,SNEMA_Winter
1997,25598.59121,11807.9273,4483,SNEMA_Winter
1998,22727.39612,11033.59685,3614,SNEMA_Winter
1999,20368.12201,11655.07939,3745,SNEMA_Winter
2000,20816.191,13873.96799,4754,SNEMA_Winter
2001,18637.488,12052.33676,5147,SNEMA_Winter
2002,14689.948,8761.806539,3412,SNEMA_Winter
2003,13015.893,8095.385523,2827,SNEMA_Winter
2004,10992.386,6574.30995,1942,SNEMA_Winter
2005,12208.431,6285.318896,1563,SNEMA_Winter
2006,12724.268,7320.896577,2023,SNEMA_Winter
2007,11498.544,7791.836154,1866,SNEMA_Winter
2008,9984.255,6462.15719,1298,SNEMA_Winter
2009,9563.828,5614.632384,532,SNEMA_Winter
2010,10499.858,6421.317973,363,SNEMA_Winter
2011,10836.256,7284.902376,530,SNEMA_Winter
2012,10839.5,7410.62413,650,SNEMA_Winter
2013,10751.065,7185.110582,1074,SNEMA_Winter
2014,9066.99,5881.28671,753,SNEMA_Winter
1978,NA,NA,NA,GB_Winter
1979,NA,NA,NA,GB_Winter
1980,NA,NA,NA,GB_Winter
1981,NA,NA,NA,GB_Winter
1982,30376.13,20395.18392,3338,GB_Winter
1983,26295.855,26488.20804,4203,GB_Winter
1984,19155.032,12757.82705,4182,GB_Winter
1985,16655.429,8854.296227,2432,GB_Winter
1986,18327.607,9820.521466,2110,GB_Winter
1987,17073.791,11844.96848,3138,GB_Winter
1988,16912.424,11738.13936,3278,GB_Winter
1989,15475.796,7380.692961,2343,GB_Winter
1990,15141.911,7318.631317,2442,GB_Winter
1991,14412.551,10122.05533,2310,GB_Winter
1992,11844.049,7569.422865,2056,GB_Winter
1993,9956.715,6167.44855,1873,GB_Winter
1994,8076.029,6882.05499,1150,GB_Winter
1995,12633.263,6873.15746,842,GB_Winter
1996,14731.898,8841.700433,1554,GB_Winter
1997,11424.828,4019.169073,1562,GB_Winter
1998,15418.376,8264.462177,1569,GB_Winter
1999,19256.837,11378.12506,1235,GB_Winter
2000,22266.562,17447.62727,2027,GB_Winter
2001,18183.773,12704.27738,2413,GB_Winter
2002,17568.633,12490.48962,2558,GB_Winter
2003,15593.239,11995.16301,3328,GB_Winter
2004,10252.428,6423.102259,3026,GB_Winter
2005,7560.006,4951.682723,2347,GB_Winter
2006,7633.338,4844.713189,1125,GB_Winter
2007,8423.864,4448.37424,1039,GB_Winter
2008,9436.42,4225.922275,1179,GB_Winter
2009,10691.72,5986.564732,2013,GB_Winter
2010,11072.157,5384.786164,1544,GB_Winter
2011,10593.559,5744.537998,2070,GB_Winter
2012,11276.561,6314.371751,2185,GB_Winter
2013,8851.995,4779.447358,1763,GB_Winter
2014,8633.685,4340.131351,1219,GB_Winter
1978,72992.9587,64493.72735,14083,Redfish
1979,61845.8118,56091.06635,14755,Redfish
1980,49291.0765,48904.65398,10183,Redfish
1981,40982.6008,39426.70788,7915,Redfish
1982,34767.8604,31889.07504,6903,Redfish
1983,29548.4778,26439.07024,5328,Redfish
1984,25996.5404,22811.70252,4793,Redfish
1985,23004.8706,19679.44933,4282,Redfish
1986,20601.2846,16374.5851,2929,Redfish
1987,19779.526,17110.7222,1894,Redfish
1988,20321.0174,15598.17727,1177,Redfish
1989,21944.7215,17579.91803,669.427,Redfish
1990,24453.3102,16824.40794,638.655,Redfish
1991,27328.953,222335.9858,2039.117,Redfish
1992,20517.8664,14781.70364,977.965,Redfish
1993,24203.6163,16422.60015,1045.675,Redfish
1994,29704.6754,17772.35971,545.862,Redfish
1995,37637.088,22549.16634,630.859,Redfish
1996,47832.5129,24025.68456,688.715,Redfish
1997,59602.9778,45721.86351,431.629,Redfish
1998,72825.3119,67476.47815,586.094,Redfish
1999,86654.2736,39536.98392,382.944,Redfish
2000,101675.8247,50067.15714,487.886,Redfish
2001,117811.0319,78564.90396,727.67,Redfish
2002,135088.5282,NA,493.573,Redfish
2003,154024.3436,NA,564.253,Redfish
2004,174103.3375,NA,522.55,Redfish
2005,195418.9891,NA,664.651,Redfish
2006,217760.0873,NA,647.908,Redfish
2007,241483.6081,122178.6736,1160.395,Redfish
2008,267362.3368,139944.1067,1373.072,Redfish
2009,297389.4154,176570.3246,1667,Redfish
2010,331624.8753,193507.3443,1852,Redfish
2011,368810.9532,240856.8698,2223,Redfish
2012,406992.2843,409647.391,4146,Redfish
2013,443225.8417,418904.1459,3974,Redfish
2014,479105.7712,504997.088,5086,Redfish
1978,47963.47,42169.43661,6053,White_Hake
1979,46639.7524,39440.99255,5295.7,White_Hake
1980,45914.2611,40235.84588,6098.8,White_Hake
1981,44139.1095,38095.88532,7211.2,White_Hake
1982,41182.549,34777.21171,7557.4,White_Hake
1983,36956.5244,31356.68315,7732.2,White_Hake
1984,33710.8485,27668.21337,8001.3,White_Hake
1985,30731.7145,24557.24414,8469.4,White_Hake
1986,27205.0302,20372.43606,7532.1,White_Hake
1987,25946.8857,18245.16612,7020.2,White_Hake
1988,24704.4142,16725.52046,5974.9,White_Hake
1989,23066.294,15576.54791,5690.9,White_Hake
1990,25451.731,16625.70523,6826.7,White_Hake
1991,26539.66,15789.25311,5999.6,White_Hake
1992,26592.157,17882.18167,9210.9,White_Hake
1993,23038.737,16071.46523,8946.6,White_Hake
1994,16956.627,11889.1402,5046.5,White_Hake
1995,15674.399,10336.17896,4618.7,White_Hake
1996,13610.079,9796.701437,3497.9,White_Hake
1997,13073.58,9712.305031,2359.5,White_Hake
1998,15355.275,10737.34811,2515.2,White_Hake
1999,15501.897,10874.29713,3560.5,White_Hake
2000,15119.154,10485.91059,3200,White_Hake
2001,18508.828,12095.39939,3836.7,White_Hake
2002,20771.867,13851.71997,3389,White_Hake
2003,19173.668,14861.55687,4759,White_Hake
2004,17536.256,14261.17113,3623.6,White_Hake
2005,15359.15,11557.36913,2763.2,White_Hake
2006,15740.889,11744.05244,1761.8,White_Hake
2007,21188.843,14549.15334,1565,White_Hake
2008,20435.371,15050.85066,1504.4,White_Hake
2009,21140.68,14685.41616,1779.5,White_Hake
2010,27829.448,19510.9891,1898.6,White_Hake
2011,31933.6,23988.70041,2951.4,White_Hake
2012,32339.029,24316.82945,2803.9,White_Hake
2013,33749.705,26808.76209,2263.4,White_Hake
2014,35397.477,28282.51764,1938.9,White_Hake
1978,222576.1,166816.7867,21512,Pollock
1979,198487.9,146150.7981,17645,Pollock
1980,147756,114716.4525,22201,Pollock
1981,135996.7,103789.9442,22879,Pollock
1982,121865.5,94144.08199,20787,Pollock
1983,115109.3,87684.2834,19443,Pollock
1984,104863.9,83249.00502,21112,Pollock
1985,94075.89,80106.24842,21244,Pollock
1986,94213.8,66003.18027,25155,Pollock
1987,81673.8,56365.16948,20533,Pollock
1988,73315.6,46232.21423,15365,Pollock
1989,71608.3,47512.96052,11483,Pollock
1990,77547.7,54214.81379,9916,Pollock
1991,80472.7,60845.41829,8473,Pollock
1992,90417.7,69933.0035,7470,Pollock
1993,89665.5,69729.02956,5876,Pollock
1994,79023.7,57784.89712,4337,Pollock
1995,109863.7,61864.37025,4254,Pollock
1996,124664,70852.62889,3709,Pollock
1997,134362.5,93590.42967,4728,Pollock
1998,154072.1,111966.1309,5932,Pollock
1999,172354.8,109242.3415,4945,Pollock
2000,170834.9,111060.4227,4717,Pollock
2001,183637.5,125933.3392,5436,Pollock
2002,227319.4,137153.1931,4721,Pollock
2003,239173.4,162471.7103,5736,Pollock
2004,233662.1,191056.7674,6064,Pollock
2005,237090.2,226678.7277,7228,Pollock
2006,214942.2,223356.4711,7078,Pollock
2007,194173.3,189108.7788,9280,Pollock
2008,160085.8,141535.4056,12216,Pollock
2009,137400.1,107690.2547,8755,Pollock
2010,115784.4,84645.3957,7373,Pollock
2011,127422.6,87219.8871,9738,Pollock
2012,136913,92335.43462,8277,Pollock
2013,146358.1,101067.57,8594,Pollock
2014,NA,NA,NA,Pollock
1978,368822.0757,118305.643,111823.63,Atl_Herring
1979,307125.8365,107961.7194,118453.08,Atl_Herring
1980,313458.5133,123264.8925,114136.98,Atl_Herring
1981,275514.4239,86211.22421,104870.95,Atl_Herring
1982,272612.1503,94335.53732,70102.52,Atl_Herring
1983,280491.262,116119.6478,44441.85,Atl_Herring
1984,382526.0084,142260.6153,55510.834,Atl_Herring
1985,454192.1822,142002.5658,60818.38,Atl_Herring
1986,603371.5149,247295.9097,67852.24,Atl_Herring
1987,575529.458,252309.8542,76320.06,Atl_Herring
1988,590246.4823,263895.7777,86041.61,Atl_Herring
1989,653969.3699,270855.8001,99123.46,Atl_Herring
1990,844386.5285,401424.5331,93520.27,Atl_Herring
1991,1009048.747,532577.696,103904.61,Atl_Herring
1992,1149649.964,629419.1043,123782.98,Atl_Herring
1993,1131759.4,655663.0252,107824.98,Atl_Herring
1994,1096973.173,672933.3761,85469.83,Atl_Herring
1995,1632745.798,765078.2099,123034.43,Atl_Herring
1996,2253394.691,901778.4295,132628.32,Atl_Herring
1997,2080645.449,1014000.214,144245.15,Atl_Herring
1998,1685432.675,913500.2082,128402.89,Atl_Herring
1999,1973553.444,911639.0689,129435.96,Atl_Herring
2000,1837718.36,914462.0855,124791.03,Atl_Herring
2001,1333907.977,839046.8412,139460.66,Atl_Herring
2002,1391977.16,679746.5748,104237.61,Atl_Herring
2003,1470708.828,670726.6094,112049.105,Atl_Herring
2004,1335552.578,643351.6427,115782.32,Atl_Herring
2005,1240120.564,655996.0461,108288.36,Atl_Herring
2006,1289598.34,633732.8891,119710.18,Atl_Herring
2007,1068028.883,537842.4817,114166.73,Atl_Herring
2008,1103910.598,567540.0847,93062.301,Atl_Herring
2009,1163609.203,516652.5644,111107.701,Atl_Herring
2010,1855093.424,569745.0179,80466.64,Atl_Herring
2011,1780475.057,868133.8415,87187.316,Atl_Herring
2012,1968126.42,878493.5018,88584.8741,Atl_Herring
2013,2109746.703,984872.8979,102210.389,Atl_Herring
2014,2319633.604,1205954.218,95469.751,Atl_Herring
1978,NA,NA,NA,Summer
1979,NA,NA,NA,Summer
1980,NA,NA,NA,Summer
