Year,B_tot,B_exp,Catch,Stock
1978,NA,NA,NA,GOM_Cod
1979,NA,NA,NA,GOM_Cod
1980,NA,NA,NA,GOM_Cod
1981,NA,NA,NA,GOM_Cod
1982,46691.8883,34466.67352,17092.1,GOM_Cod
1983,38391.0158,29350.42446,16478.1,GOM_Cod
1984,33044.3325,24854.4272,12859.3,GOM_Cod
1985,32967.8917,25113.55717,14382.5,GOM_Cod
1986,30861.1544,22700.99445,12567.4,GOM_Cod
1987,30095.1368,21966.61487,11981.4,GOM_Cod
1988,33150.1766,22911.08617,10326.4,GOM_Cod
1989,47723.6349,21224.87197,13332.8,GOM_Cod
1990,46393.0552,25877.42284,19280.4,GOM_Cod
1991,40692.2414,27722.63751,20944.1,GOM_Cod
1992,25828.8757,16097.3197,12329.3,GOM_Cod
1993,21646.8262,11430.05582,9909.4,GOM_Cod
1994,22296.5078,10506.58546,9009.8,GOM_Cod
1995,21947.94,11222.69295,7517.5,GOM_Cod
1996,19701.4021,11521.43541,7716.2,GOM_Cod
1997,16478.0179,9513.304351,5784.9,GOM_Cod
1998,15566.2643,8142.958722,4541.9,GOM_Cod
1999,15697.831,8349.10796,3042.3,GOM_Cod
2000,25568.9562,12772.5993,5753.9,GOM_Cod
2001,27437.1998,15477.74785,7941.2,GOM_Cod
2002,23153.9865,15736.64147,6365.7,GOM_Cod
2003,20153.9937,14373.20802,6355.5,GOM_Cod
2004,17615.9254,12535.72898,5768.8,GOM_Cod
2005,15904.9364,9465.758349,5257.6,GOM_Cod
2006,17657.0354,8319.322408,4207.3,GOM_Cod
2007,21852.5948,10792.39454,5485,GOM_Cod
2008,24188.3536,11757.91504,7186.5,GOM_Cod
2009,23501.207,12280.11703,8246.7,GOM_Cod
2010,18941.5619,11098.33178,7517.4,GOM_Cod
2011,13305.8776,8070.189979,6673.2,GOM_Cod
2012,7912.4246,3857.860983,3471.7,GOM_Cod
2013,6345.3435,2172.043655,1776.9,GOM_Cod
2014,6640.0195,2181.38267,1470.6,GOM_Cod
1978,154472.653,135102.4548,40929,GB_Cod
1979,176728.407,142857.7611,44442,GB_Cod
1980,172665.137,141884.2549,53949,GB_Cod
1981,170303.143,129249.4011,48667,GB_Cod
1982,172489.935,132364.8271,62509,GB_Cod
1983,138079.26,117110.5265,54291,GB_Cod
1984,120774.913,94250.84902,40430,GB_Cod
1985,101362.989,77243.27436,43361,GB_Cod
1986,105909.202,66750.95598,27548,GB_Cod
1987,120500.037,79653.96485,32665,GB_Cod
1988,121220.203,95289.78288,42712,GB_Cod
1989,114256.048,87739.4375,34938,GB_Cod
1990,109278.216,90190.51027,44541,GB_Cod
1991,96584.172,70286.48818,39342,GB_Cod
1992,74827.828,53021.46338,29827,GB_Cod
1993,54536.399,45402.16832,26006,GB_Cod
1994,39454.281,23704.56446,16042,GB_Cod
1995,34951.562,20778.63238,9983,GB_Cod
1996,36480.642,22759.07177,9840,GB_Cod
1997,37679.585,21862.27501,12422,GB_Cod
1998,37287.873,19079.99595,10372,GB_Cod
1999,38043.892,20878.79196,10987,GB_Cod
2000,44056.835,23142.28565,10294,GB_Cod
2001,40132.352,24160.13757,13709,GB_Cod
2002,31688.689,22106.17304,11372,GB_Cod
2003,24628.919,17083.8394,8945,GB_Cod
2004,19116.229,13252.20628,5182,GB_Cod
2005,17473.657,11201.10734,5074,GB_Cod
2006,19003.931,11926.55998,4441,GB_Cod
2007,20249.556,12592.76435,5664,GB_Cod
2008,25154.285,12263.37028,5163,GB_Cod
2009,28078.656,14287.07071,4645,GB_Cod
2010,31152.762,16695.88807,3960,GB_Cod
2011,39189.144,23402.40522,4449,GB_Cod
2012,NA,NA,2653,GB_Cod
2013,NA,NA,1824,GB_Cod
2014,NA,NA,2082,GB_Cod
1978,NA,NA,NA,GB_Haddock
1979,NA,NA,NA,GB_Haddock
1980,NA,NA,NA,GB_Haddock
1981,92243.4,68959.46544,25011,GB_Haddock
1982,70856.82,59828.97602,17627,GB_Haddock
1983,50620.68,38642.79752,12009,GB_Haddock
1984,41515.32,26019.40358,10394,GB_Haddock
1985,36701.57,20699.53116,7943,GB_Haddock
1986,36314.49,23195.39152,6846,GB_Haddock
1987,35043.84,22493.52777,6997,GB_Haddock
1988,35886.82,20806.61285,6689,GB_Haddock
1989,36224.81,18120.82702,4915,GB_Haddock
1990,36218.17,20559.54674,5574,GB_Haddock
1991,31520.8,15703.09756,6997,GB_Haddock
1992,28834.45,18403.79582,6244,GB_Haddock
1993,34902.95,13812.57047,4668,GB_Haddock
1994,40585.97,10312.85609,4827,GB_Haddock
1995,45722.63,20534.97439,2442,GB_Haddock
1996,56670.16,22553.48491,4131,GB_Haddock
1997,67896.73,36679.83716,3833,GB_Haddock
1998,79090.68,39929.87962,5665,GB_Haddock
1999,108707.44,43997.67041,6357,GB_Haddock
2000,117791.94,56503.02259,8711,GB_Haddock
2001,137538.7,55263.75214,11788,GB_Haddock
2002,154163.65,64979.63427,13258,GB_Haddock
2003,141079.79,59422.51214,12827,GB_Haddock
2004,173006.83,52427.4339,18253,GB_Haddock
2005,219744.33,71361.61043,21814,GB_Haddock
2006,242300.46,49592.54045,15989,GB_Haddock
2007,220907.77,78888.90039,16815,GB_Haddock
2008,205172.08,102591.4119,21021,GB_Haddock
2009,168731.66,102825.0676,23126,GB_Haddock
2010,123497.25,98852.00931,25903,GB_Haddock
2011,171327.91,52218.00102,16670,GB_Haddock
2012,189004.93,24424.59069,6935,GB_Haddock
2013,287820.25,32353.25179,6828,GB_Haddock
2014,773267.35,92474.04919,18602,GB_Haddock
1978,24774.06863,10086.23965,5023.5,GOM_Haddock
1979,24544.01789,11974.318,4387.6,GOM_Haddock
1980,27709.14575,12542.40307,6520.6,GOM_Haddock
1981,26160.48033,11685.84829,6264.5,GOM_Haddock
1982,21052.99719,11395.79898,6941.7,GOM_Haddock
1983,16670.83868,9752.484701,7655.6,GOM_Haddock
1984,11704.05225,6414.796879,4101.4,GOM_Haddock
1985,7995.222482,4337.545131,3088.2,GOM_Haddock
1986,4557.59776,2722.377794,1922.2,GOM_Haddock
1987,2518.909866,1493.854333,909.4,GOM_Haddock
1988,1606.286461,940.7857156,438.8,GOM_Haddock
1989,1504.687037,698.6891302,284.6,GOM_Haddock
1990,1449.140269,649.1055863,472.4,GOM_Haddock
1991,1476.674227,512.16793,446.6,GOM_Haddock
1992,1401.624574,355.1607644,321.4,GOM_Haddock
1993,1780.383863,342.523881,206.9,GOM_Haddock
1994,3340.36839,529.4977252,186.7,GOM_Haddock
1995,4861.598085,905.8856972,403.7,GOM_Haddock
